"Genus","code","Time.since.introduction","Cost.USD","Management.delay"
"Aedes","ARG","27","491024.725941941","15"
"Aedes","ARG","36","13204875","15"
"Aedes","BLZ","0","144771.49185169","-18"
"Aedes","BOL","0","402143.032921362","-18"
"Aedes","BRA","21","430303527.620539","-12"
"Aedes","BRA","20","48747441.0757196","-12"
"Aedes","BRA","21","48747441.0757196","-12"
"Aedes","BRA","19","48747441.0757196","-12"
"Aedes","BRA","17","397314189.129973","-12"
"Aedes","COL","6","8556086.70369739","-30"
"Aedes","COL","6","631679.054675666","-30"
"Aedes","COL","11","100022.144533184","-30"
"Aedes","COL","2","265749.741435762","-30"
"Aedes","COL","3","265749.741435762","-30"
"Aedes","COL","6","1967693.92501602","-30"
"Aedes","COL","11","149774.827621467","-30"
"Aedes","COL","4","265749.741435762","-30"
"Aedes","COL","9","249796.972154651","-30"
"Aedes","COL","0","265749.741435762","-30"
"Aedes","COL","1","265749.741435762","-30"
"Aedes","COL","6","111008069.261685","-30"
"Aedes","CUB","21","15654780.3818986","-4"
"Aedes","CUB","0","115921276.693246","-4"
"Aedes","ECU","18","95000","-18"
"Aedes","ECU","0","1664040.52450236","-18"
"Aedes","ECU","19","95000","-18"
"Aedes","ECU","22","95000","-18"
"Aedes","ECU","20","95000","-18"
"Aedes","ECU","21","95000","-18"
"Aedes","FRA","13","3742077.98137494","-23"
"Aedes","IND","3","9931303.76900318","-26"
"Aedes","IND","5","9931303.76900318","-26"
"Aedes","IND","2","9931303.76900318","-26"
"Aedes","IND","0","9931303.76900318","-26"
"Aedes","IND","1","9931303.76900318","-26"
"Aedes","IND","4","9931303.76900318","-26"
"Aedes","MEX","4","6085447.05924632","-31"
"Aedes","MEX","0","148123.144829175","-31"
"Aedes","MEX","5","290725398.45501","-31"
"Aedes","MYS","12","88911676.3280793","-24"
"Aedes","MYS","1","17442839.0085708","-24"
"Aedes","NIC","0","804286.065842724","-18"
"Aedes","PER","0","1930286.55802254","-18"
"Aedes","PRY","0","297585.844361808","-18"
"Aedes","THA","0","892335.423197497","-4"
"Aedes","THA","21","49730872.9505411","-4"
"Aedes","THA","23","49730872.9505411","-4"
"Aedes","THA","26","94575.7601455567","-4"
"Aedes","THA","32","61028132.8642438","-4"
"Aedes","THA","13","8057484.62022829","-4"
"Aedes","THA","20","49730872.9505411","-4"
"Aedes","THA","22","49730872.9505411","-4"
"Aedes","THA","24","49730872.9505411","-4"
"Aedes","THA","6","34516288.9622297","-4"
"Aedes","USA","28","9106903.28229997","0"
"Aedes","USA","29","9106903.28229997","0"
"Aedes","USA","30","9106903.28229997","0"
"Aedes","USA","26","9106903.28229997","0"
"Aedes","USA","40","195499848.456182","0"
"Aedes","USA","25","9106903.28229997","0"
"Aedes","USA","27","9106903.28229997","0"
"Aedes","USA","0","4912637.28103949","0"
"Aedes","VNM","2","12692.0670115337","-21"
"Aedes","VNM","0","12692.0670115337","-21"
"Aedes","VNM","1","12692.0670115337","-21"
"Aedes","ESP","13","16945.2176470589","11"
"Aedes","ESP","11","7171.5145288356","11"
"Aedes","ESP","14","7204.97809478398","11"
"Aedes","ESP","13","7060.50735294119","11"
"Aedes","ESP","11","550635.738337939","11"
"Aedes","ESP","11","17211.6348692054","11"
"Aedes","ESP","14","17291.9474274816","11"
"Aedes","ESP","12","16957.2205016686","11"
"Aedes","ESP","12","7065.50854236191","11"
"Aedes","FRA","14","29946805.2652384","10"
"Aedes","ITA","19","6926945.25311045","18"
"Aedes","ITA","18","672433.157246661","18"
"Aedes","ITA","21","8001435.43175527","18"
"Aedes","ITA","18","6926945.25311045","18"
"Aedes","ITA","18","12686111.9039095","18"
"Aedes","ITA","19","9423339.81454536","18"
"Aedes","ITA","20","6926945.25311045","18"
"Aedes","ITA","20","8294139.09835118","18"
"Aedes","ITA","28","1152796.49516544","18"
"Aedes","ITA","21","6926945.25311045","18"
"Aedes","USA","10","305524.339903352","-24"
"Aedes","USA","7","2971456.96171667","-24"
"Aedes","USA","8","305524.339903352","-24"
"Aedes","USA","9","305524.339903352","-24"
"Aedes","USA","0","1622785.33978915","-24"
"Anoplophora","ITA","13","248134.359431316","6"
"Anoplophora","ITA","14","248134.359431316","6"
"Anoplophora","ITA","11","248134.359431316","6"
"Anoplophora","ITA","9","248134.359431316","6"
"Anoplophora","ITA","12","248134.359431316","6"
"Anoplophora","ITA","6","248134.359431316","6"
"Anoplophora","ITA","8","248134.359431316","6"
"Anoplophora","ITA","11","476166.741513156","6"
"Anoplophora","ITA","10","248134.359431316","6"
"Anoplophora","ITA","7","248134.359431316","6"
"Anoplophora","NLD","5","930503.847867436","5"
"Anoplophora","AUT","7","86350.7570820981","0"
"Anoplophora","AUT","2","86350.7570820981","0"
"Anoplophora","AUT","1","86350.7570820981","0"
"Anoplophora","AUT","5","86350.7570820981","0"
"Anoplophora","AUT","4","86350.7570820981","0"
"Anoplophora","AUT","3","86350.7570820981","0"
"Anoplophora","AUT","6","86350.7570820981","0"
"Anoplophora","AUT","0","86350.7570820981","0"
"Anoplophora","CAN","3","42738740.5873507","0"
"Anoplophora","CAN","0","42738740.5873507","0"
"Anoplophora","CAN","4","42738740.5873507","0"
