"Species","code","Impact_year","Type_of_cost_merged","Management_type","Genus","Cost_ID","Cost.USD","eventDate","First_invacost","First_manage","First_manage_invacost"
"Aedes aegypti","ARG",2007,"Management_costs","Post-invasion_management","Aedes","NE5209",491024.725941941,1980,2007,1995,1977
"Aedes aegypti","ARG",2016,"Management_costs","Post-invasion_management","Aedes","NE3245",13204875,1980,2007,1995,1977
"Aedes aegypti","BLZ",1995,"Management_costs","Post-invasion_management","Aedes","2274",144771.49185169,NA,1995,1995,1977
"Aedes aegypti","BOL",1995,"Management_costs","Post-invasion_management","Aedes","2276",402143.032921362,NA,1995,1995,1977
"Aedes aegypti","BRA",2017,"Management_costs","Post-invasion_management","Aedes","NE4533",430303527.620539,1996,2000,1984,1977
"Aedes aegypti","BRA",2016,"Management_costs","Post-invasion_management","Aedes","2348",48747441.0757196,1996,2000,1984,1977
"Aedes aegypti","BRA",2017,"Management_costs","Post-invasion_management","Aedes","2348",48747441.0757196,1996,2000,1984,1977
"Aedes aegypti","BRA",2015,"Management_costs","Post-invasion_management","Aedes","2348",48747441.0757196,1996,2000,1984,1977
"Aedes aegypti","BRA",2013,"Management_costs","Post-invasion_management","Aedes","2354",397314189.129973,1996,2000,1984,1977
"Aedes aegypti","COL",2013,"Management_costs","Post-invasion_management","Aedes","NE3069",8556086.70369739,NA,2007,1995,1977
"Aedes aegypti","COL",2013,"Management_costs","Post-invasion_management","Aedes","2351",631679.054675666,NA,2007,1995,1977
"Aedes aegypti","COL",2018,"Management_costs","Post-invasion_management","Aedes","NE3043",100022.144533184,NA,2007,1995,1977
"Aedes aegypti","COL",2009,"Management_costs","Post-invasion_management","Aedes","NE3073",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2010,"Management_costs","Post-invasion_management","Aedes","NE3073",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2013,"Management_costs","Post-invasion_management","Aedes","NE3068",1967693.92501602,NA,2007,1995,1977
"Aedes aegypti","COL",2018,"Management_costs","Post-invasion_management","Aedes","NE3042",149774.827621467,NA,2007,1995,1977
"Aedes aegypti","COL",2011,"Management_costs","Post-invasion_management","Aedes","NE3073",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2016,"Management_costs","Post-invasion_management","Aedes","2352",249796.972154651,NA,2007,1995,1977
"Aedes aegypti","COL",2007,"Management_costs","Post-invasion_management","Aedes","NE3073",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2008,"Management_costs","Post-invasion_management","Aedes","NE3073",265749.741435762,NA,2007,1995,1977
"Aedes aegypti","COL",2013,"Management_costs","Post-invasion_management","Aedes","2355",111008069.261685,NA,2007,1995,1977
