"Genus","code","Time.since.introduction","Cost.USD","Management.delay"
"Aedes","BRA","93","48747441.0757196","62"
"Aedes",NA,"73","36189784.5044298","55"
"Aedes","VNM","76","12692.0670115337","76"
"Aedes","IND","81","9931303.76900318","81"
"Aedes","KHM","81","712671.983358227","79"
"Aedes","PAN","73","2081492.33840097","73"
"Aedes","PRY","73","297585.844361808","73"
"Aedes","SGP","80","54485749.8508858","55"
"Aedes","KHM","81","671251.457633089","79"
"Aedes","SGP","81","54485749.8508858","55"
"Aedes","ECU","73","1664040.52450236","73"
"Aedes","NIC","73","804286.065842724","73"
"Aedes","GTM","73","3378001.47653944","73"
"Aedes","PER","73","1930286.55802254","73"
"Aedes","URY","73","16085.7213168545","73"
"Aedes","ECU","93","95000","73"
"Aedes","VNM","77","12692.0670115337","76"
"Aedes","THA","81","49730872.9505411","59"
"Aedes","CHL","73","19302.8655802254","73"
"Aedes","USA","80","9106903.28229997","55"
"Aedes","ECU","92","95000","73"
"Aedes","USA","55","4912637.28103949","55"
"Aedes","CUB","80","15654780.3818986","59"
"Aedes","KHM","80","712671.983358227","79"
"Aedes","KHM","80","671251.457633089","79"
"Aedes","MYS","80","17442839.0085708","80"
"Aedes","THA","80","49730872.9505411","59"
"Aedes","USA","81","9106903.28229997","55"
"Aedes","SLV","73","1608572.13168545","73"
"Aedes","MEX","73","4825716.39505635","73"
"Aedes","BRA","85","1574050.22934482","62"
"Aedes","MYS","85","30075091.726287","80"
"Aedes","VEN","85","449044.526974101","85"
"Aedes","BRA","86","1574050.22934482","62"
"Aedes","BRA","87","1574050.22934482","62"
"Aedes","BLZ","73","144771.49185169","73"
"Aedes","BOL","73","402143.032921362","73"
"Aedes","USA","95","195499848.456182","55"
"Aedes","CUB","78","9613246.53355826","59"
"Aedes","THA","78","31493728.1284704","59"
"Aedes","COL","89","265749.741435762","73"
"Aedes","KHM","79","712671.983358227","79"
"Aedes","MEX","91","290725398.45501","73"
"Aedes","THA","91","61028132.8642438","59"
"Aedes","CUB","82","851480.834920087","59"
"Aedes","MYS","82","30075091.726287","80"
"Aedes","THA","82","31493728.1284704","59"
"Aedes","ARG","94","13204875","73"
"Aedes","BRA","94","48747441.0757196","62"
"Aedes","THA","59","892335.423197497","59"
"Aedes","THA","65","34516288.9622297","59"
"Aedes","THA","72","8057484.62022829","59"
"Aedes","BRA","95","430303527.620539","62"
"Aedes","THA","79","49730872.9505411","59"
"Aedes","SGP","86","54485749.8508858","55"
"Aedes","ECU","95","95000","73"
"Aedes","SGP","78","54485749.8508858","55"
"Aedes","VNM","78","12692.0670115337","76"
"Aedes","NZL","76","3636877.59126129","76"
"Aedes","NZL","77","3636877.59126129","76"
"Aedes","NZL","78","3636877.59126129","76"
"Aedes","NZL","79","3636877.59126129","76"
"Aedes","NZL","80","3636877.59126129","76"
"Aedes","NZL","81","3636877.59126129","76"
"Aedes","NZL","82","3636877.59126129","76"
"Aedes","NZL","83","3636877.59126129","76"
"Aedes","NZL","84","3636877.59126129","76"
"Aedes","NZL","85","3636877.59126129","76"
"Aedes","NZL","86","3636877.59126129","76"
"Aedes","NZL","87","3636877.59126129","76"
"Aedes","NZL","88","3636877.59126129","76"
"Aedes","SGP","79","54485749.8508858","55"
"Aedes","COL","91","631679.054675666","73"
"Aedes","BRA","91","397314189.129973","62"
"Aedes","SGP","82","54485749.8508858","55"
"Aedes","COL","91","111008069.261685","73"
"Aedes","COL","91","1967693.92501602","73"
"Aedes","COL","91","8556086.70369739","73"
"Aedes","MYS","91","88911676.3280793","80"
"Aedes","PHL","91","157305273.503525","91"
"Aedes","USA","85","9106903.28229997","55"
"Aedes","ESP","96","7204.97809478398","93"
"Aedes","ITA","96","1152796.49516544","86"
"Aedes","COL","94","249796.972154651","73"
"Aedes","ECU","94","95000","73"
"Aedes","COL","86","265749.741435762","73"
"Aedes","BRA","95","48747441.0757196","62"
"Aedes","KHM","86","562057.78651154","79"
"Aedes","MEX","86","148123.144829175","73"
"Aedes","MYS","83","30075091.726287","80"
"Aedes","KHM","83","712671.983358227","79"
"Aedes","COL","96","149774.827621467","73"
"Aedes","COL","96","100022.144533184","73"
"Aedes","SGP","55","17554213.0997901","55"
"Aedes","SGP","59","15598675.7191028","55"
"Aedes","BRA","62","544348.17749604","62"
"Aedes","BRA","63","544348.17749604","62"
"Aedes","BRA","64","544348.17749604","62"
"Aedes","BRA","65","544348.17749604","62"
"Aedes","BRA","66","544348.17749604","62"
"Aedes","BRA","67","544348.17749604","62"
"Aedes","BRA","68","544348.17749604","62"
"Aedes","BRA","69","544348.17749604","62"
"Aedes","BRA","70","544348.17749604","62"
"Aedes","BRA","71","544348.17749604","62"
"Aedes","BRA","72","544348.17749604","62"
"Aedes","ARG","73","9571004.18352842","73"
"Aedes","BRA","73","94249176.8395907","62"
"Aedes","COL","73","5807733.59572899","73"
"Aedes","CRI","73","2412858.19752817","73"
"Aedes","HND","73","1608572.13168545","73"
"Aedes","IND","84","9931303.76900318","81"
"Aedes","KHM","84","562057.78651154","79"
"Aedes","SGP","84","54485749.8508858","55"
"Aedes","USA","84","9106903.28229997","55"
"Aedes","KHM","79","671251.457633089","79"
"Aedes","IND","82","9931303.76900318","81"
"Aedes","KHM","82","712671.983358227","79"
"Aedes","KHM","82","671251.457633089","79"
"Aedes","THA","82","49730872.9505411","59"
"Aedes","USA","82","9106903.28229997","55"
"Aedes","KHM","85","562057.78651154","79"
"Aedes","SGP","85","54485749.8508858","55"
"Aedes","THA","85","94575.7601455567","59"
"Aedes","ESP","94","16957.2205016686","93"
"Aedes","ESP","94","7065.50854236191","93"
"Aedes","ESP","95","16945.2176470589","93"
"Aedes","ESP","95","7060.50735294119","93"
"Aedes","ESP","96","17291.9474274816","93"
"Aedes","SGP","87","54485749.8508858","55"
"Aedes","CUB","59","115921276.693246","59"
"Aedes","IND","86","9931303.76900318","81"
"Aedes","IND","83","9931303.76900318","81"
"Aedes","KHM","83","671251.457633089","79"
"Aedes","SGP","83","54485749.8508858","55"
"Aedes","THA","83","49730872.9505411","59"
"Aedes","USA","83","9106903.28229997","55"
"Aedes","BRA","89","1574050.22934482","62"
"Aedes","COL","89","43261685.3816034","73"
"Aedes","MEX","89","85754675.1920755","73"
"Aedes","COL","87","265749.741435762","73"
"Aedes","ARG","85","491024.725941941","73"
"Aedes","COL","85","265749.741435762","73"
"Aedes","IND","85","9931303.76900318","81"
"Aedes","FRA","91","3742077.98137494","86"
"Aedes","MYS","81","30075091.726287","80"
"Aedes","THA","81","31493728.1284704","59"
"Aedes","CUB","84","9445745.30772191","59"
"Aedes","MYS","84","30075091.726287","80"
"Aedes","IDN","89","514890.336090871","89"
"Aedes","LKA","90","1037045.58867886","90"
"Aedes","MEX","90","6085447.05924632","73"
"Aedes","BRA","83","15672935.9079732","62"
"Aedes","BRA","88","1574050.22934482","62"
"Aedes","COL","88","43261685.3816034","73"
"Aedes","CUB","88","1278907.41154393","59"
"Aedes","COL","88","265749.741435762","73"
"Aedes","COL","90","43261685.3816034","73"
"Aedes","CUB","90","3782067.9805414","59"
"Aedes","BRA","91","69971910.9564174","62"
"Aedes","CUB","79","9613246.53355826","59"
"Aedes","MDV","93","153973.698279028","93"
"Aedes","CUB","80","9613246.53355826","59"
"Aedes","ECU","91","95000","73"
"Aedes","ESP","93","550635.738337939","93"
"Aedes","ESP","93","17211.6348692054","93"
"Aedes","ESP","93","7171.5145288356","93"
"Aedes","MDV","93","120897.338213083","93"
"Aedes","USA","79","1622785.33978915","55"
"Aedes","THA","79","31493728.1284704","59"
"Aedes","ITA","86","12686111.9039095","86"
"Aedes","MYS","80","30075091.726287","80"
"Aedes","THA","80","31493728.1284704","59"
"Aedes","THA","83","31493728.1284704","59"
