"Genus","Species","Impact_year","Type_of_cost_merged","Management_type","code","Cost_ID","Cost.USD","First_invacost","First_manage","First_manage_invacost"
"Aedes","Aedes aegypti",2006,"Damage",NA,"MYS","2232",134654366.328205,1922,2002,1977
"Aedes","Aedes aegypti",2003,"Damage",NA,"PRY","2321",2522877.38073318,1922,1995,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"PER","2324",132916340.065661,1922,1995,1977
"Aedes","Aedes aegypti",2006,"Damage",NA,"MYS","2231",149507371.21207,1922,2002,1977
"Aedes","Aedes aegypti",2006,"Damage",NA,"MMR","2235",15231780.1955654,1922,NA,1977
"Aedes","Aedes aegypti",2003,"Damage",NA,"USA","2326",20573081.5494169,1922,1977,1977
"Aedes","Aedes aegypti",1998,"Damage",NA,"VEN","NE3045",103399.387432647,1922,2007,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"PHL","2237",85049016.4014476,1922,2013,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"THA","2395",127879387.587106,1922,1981,1977
"Aedes","Aedes aegypti",2003,"Damage",NA,"VEN","NE3050",24642.4963093999,1922,2007,1977
"Aedes","Aedes aegypti",2003,"Damage",NA,"SGP","2238",41736084.3857785,1922,1977,1977
"Aedes","Aedes aegypti",2016,"Damage",NA,"ARG","NE3240",56110,1922,1995,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"TLS","2248",381951.934995181,1922,NA,1977
"Aedes","Aedes aegypti",2016,"Damage",NA,"ARG","NE3239",77260,1922,1995,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"MYS","2232",134654366.328205,1922,2002,1977
"Aedes","Aedes aegypti",1999,"Damage",NA,"CHN","2394",489020.414020624,1922,NA,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"URY","2330",1486796.52946905,1922,1995,1977
"Aedes","Aedes aegypti",2003,"Damage",NA,"MYS","2232",134654366.328205,1922,2002,1977
"Aedes","Aedes aegypti",2006,"Damage",NA,"SGP","2239",70592714.376933,1922,1977,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"THA","2244",151755602.358116,1922,1981,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"THA","2241",1290.95912598685,1922,1981,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"THA","2246",305170126.178464,1922,1981,1977
"Aedes","Aedes aegypti",2003,"Damage",NA,"PHL","2237",85049016.4014476,1922,2013,1977
"Aedes","Aedes aegypti",1997,"Damage",NA,"VEN","NE3051",100746.057582806,1922,2007,1977
"Aedes","Aedes aegypti",1998,"Damage",NA,"CHN","2394",489020.414020624,1922,NA,1977
"Aedes","Aedes aegypti",1998,"Damage",NA,"THA","2241",1290.95912598685,1922,1981,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"USA","2326",20573081.5494169,1922,1977,1977
"Aedes","Aedes aegypti",2006,"Damage",NA,"PER","2324",132916340.065661,1922,1995,1977
"Aedes","Aedes aegypti/Aedes albopictus",2000,"Damage",NA,"HND","2309",19972885.8812854,1922,1995,1977
"Aedes","Aedes aegypti",2003,"Damage",NA,"USA","2409",20786606.0076361,1922,1977,1977
"Aedes","Aedes aegypti",2006,"Damage",NA,"SGP","2238",41736084.3857785,1922,1977,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"SGP","2238",41736084.3857785,1922,1977,1977
"Aedes","Aedes aegypti",2002,"Damage",NA,"SUR","2328",1461965.26330133,1922,NA,1977
"Aedes","Aedes aegypti",1999,"Damage",NA,"THA","2241",1290.95912598685,1922,1981,1977
"Aedes","Aedes aegypti",2001,"Damage",NA,"BRA","2393",10675000,1922,1984,1977
"Aedes","Aedes aegypti",1997,"Damage",NA,"VEN","NE3044",6430216.35398715,1922,2007,1977
