"Genus","Time.since.introduction","Cost.USD"
"Aedes",55,22466850.3808296
"Aedes",59,132412287.835546
"Aedes",62,544348.17749604
"Aedes",63,544348.17749604
"Aedes",64,544348.17749604
"Aedes",65,35060637.1397257
"Aedes",66,544348.17749604
"Aedes",67,544348.17749604
"Aedes",68,544348.17749604
"Aedes",69,544348.17749604
"Aedes",70,544348.17749604
"Aedes",71,544348.17749604
"Aedes",72,8601832.79772433
"Aedes",73,167011413.898573
"Aedes",76,3649569.65827282
"Aedes",77,3649569.65827282
"Aedes",78,99242294.1711873
"Aedes",79,151967183.835497
"Aedes",80,222624012.894765
"Aedes",81,189844450.73974
"Aedes",82,190695931.57466
"Aedes",83,205517386.647713
"Aedes",84,117243729.313971
"Aedes",85,110672428.990091
"Aedes",86,93860859.3892549
"Aedes",87,76618236.8204868
"Aedes",88,148110167.885099
"Aedes",89,146604955.905319
"Aedes",90,84113051.2753084
"Aedes",91,1191257188.1637
"Aedes",92,95000
"Aedes",93,49692330.9999477
"Aedes",94,62321135.7769183
"Aedes",95,674669822.877441
"Aedes",96,1427090.39284236
